COUNTY_,NAME,MUNICIPAL_CODE,STATE,COUNTY,LOCAL,TOTAL
ALLEGANY          ,TOWN OF AMITY                 ,0230200,"$25,220.00",$400.00,"$13,659.00","$39,279.00"
ALLEGANY          ,TOWN OF ANDOVER               ,0230240,"$9,385.00",$0.00,"$5,142.50","$14,527.50"
ALLEGANY          ,TOWN OF ANGELICA              ,0230250,"$232,828.00","$1,230.00","$38,996.00","$273,054.00"
ALLEGANY          ,TOWN OF BELFAST               ,0230600,"$10,501.75",$950.00,"$4,958.25","$16,410.00"
ALLEGANY          ,TOWN OF BIRDSALL,0230740,$0.00,$0.00,$0.00,$0.00
ALLEGANY          ,TOWN OF BOLIVAR               ,0230790,"$9,398.00",$280.00,"$3,192.00","$12,870.00"
ALLEGANY          ,TOWN OF BURNS                 ,0231030,"$6,795.00","$1,500.00","$2,748.00","$11,043.00"
ALLEGANY          ,TOWN OF CANEADEA              ,0231230,"$11,788.00",$490.00,"$7,038.00","$19,316.00"
ALLEGANY          ,TOWN OF CENTERVILLE           ,0231420,"$1,224.00",$0.00,"$1,355.00","$2,579.00"
ALLEGANY          ,TOWN OF CLARKSVILLE           ,0231680,"$1,141.00",-$30.00,$375.00,"$1,486.00"
ALLEGANY          ,TOWN OF CUBA                  ,0232120,"$47,422.45","$1,970.00","$10,964.75","$60,357.20"
ALLEGANY          ,TOWN OF FRIENDSHIP            ,0233080,"$92,648.93",-$90.00,"$23,377.00","$115,935.93"
ALLEGANY          ,TOWN OF GENESEE               ,0233180,"$16,803.00","$1,470.00","$5,047.00","$23,320.00"
ALLEGANY          ,TOWN OF GRANGER               ,0233380,"$2,366.00",$0.00,$824.00,"$3,190.00"
ALLEGANY          ,TOWN OF GROVE,0233530,$0.00,$0.00,$0.00,$0.00
ALLEGANY          ,TOWN OF HUME                  ,0234080,"$15,521.00",$550.00,"$3,164.00","$19,235.00"
ALLEGANY          ,TOWN OF INDEPENDENCE          ,0234150,"$7,172.25",-$30.00,"$7,981.75","$15,124.00"
ALLEGANY          ,TOWN OF NEW HUDSON            ,0235760,"$2,039.00",$850.00,$692.00,"$3,581.00"
ALLEGANY          ,TOWN OF RUSHFORD              ,0237300,"$26,534.06",$990.00,"$14,390.00","$41,914.06"
ALLEGANY          ,TOWN OF SCIO                  ,0237590,"$14,676.00",$782.50,"$7,305.50","$22,764.00"
ALLEGANY          ,TOWN OF WARD                  ,0238690,"$1,501.00",$0.00,$222.50,"$1,723.50"
ALLEGANY          ,TOWN OF WELLSVILLE            ,0238870,"$15,973.00","$1,125.00","$7,755.00","$24,853.00"
ALLEGANY          ,TOWN OF WEST ALMOND           ,0238880,"$35,146.00",$0.00,"$5,997.00","$41,143.00"
ALLEGANY          ,TOWN OF WILLING               ,0239120,"$6,062.00","$1,510.00","$6,050.00","$13,622.00"
ALLEGANY          ,TOWN OF WIRT                  ,0239210,"$10,055.50",-$40.00,"$2,463.50","$12,479.00"
ALLEGANY          ,VILLAGE OF ALFRED             ,0240090,"$24,613.25","$3,230.00","$31,857.75","$59,701.00"
ALLEGANY          ,VILLAGE OF ANDOVER            ,0240170,"$8,438.00",$0.00,"$7,402.00","$15,840.00"
ALLEGANY          ,VILLAGE OF ANGELICA           ,0240180,"$15,547.00",$780.00,"$14,153.00","$30,480.00"
ALLEGANY          ,VILLAGE OF BELMONT            ,0240420,"$22,048.00",$732.50,"$19,137.50","$41,918.00"
ALLEGANY          ,VILLAGE OF BOLIVAR            ,0240490,"$9,983.00","$1,420.00","$5,834.00","$17,237.00"
ALLEGANY          ,VILLAGE OF WELLSVILLE         ,0245270,"$20,088.76","$2,695.01","$15,293.02","$38,076.79"
BROOME            ,TOWN OF BARKER                ,0330510,"$184,525.50",$440.00,"$34,116.00","$219,081.50"
BROOME            ,TOWN OF BINGHAMTON            ,0330730,"$4,350.00","$1,300.00","$1,477.00","$7,127.00"
BROOME            ,TOWN OF CHENANGO              ,0331540,"$316,650.75","$5,375.00","$105,047.25","$427,073.00"
BROOME            ,TOWN OF COLESVILLE            ,0331850,"$35,486.00","$1,530.00","$11,917.00","$48,933.00"
BROOME            ,TOWN OF CONKLIN               ,0331950,"$40,261.01","$4,210.00","$6,807.00","$51,278.01"
BROOME            ,TOWN OF DICKINSON             ,0332350,"$274,122.00","$1,567.25","$53,516.25","$329,205.50"
BROOME            ,TOWN OF FENTON                ,0332860,"$47,705.25","$4,445.00","$18,459.08","$70,609.33"
BROOME            ,TOWN OF KIRKWOOD              ,0334420,"$266,701.00","$4,895.00","$67,680.00","$339,276.00"
BROOME            ,TOWN OF LISLE                 ,0334730,"$46,113.25",$510.00,"$8,614.75","$55,238.00"
BROOME            ,TOWN OF MAINE                 ,0334990,"$16,025.00",$430.00,"$6,186.00","$22,641.00"
BROOME            ,TOWN OF NANTICOKE             ,0335580,"$3,534.75",$100.00,"$1,632.25","$5,267.00"
BROOME            ,TOWN OF SANFORD               ,0337430,"$99,047.00","$1,090.00","$16,554.50","$116,691.50"
BROOME            ,TOWN OF TRIANGLE              ,0338330,"$168,353.50",$290.00,"$45,072.50","$213,716.00"
BROOME            ,TOWN OF UNION                 ,0338460,"$230,183.00","$11,924.50","$66,535.50","$308,643.00"
BROOME            ,TOWN OF VESTAL                ,0338550,"$147,733.70","$16,111.60","$61,855.70","$225,701.00"
BROOME            ,TOWN OF WINDSOR               ,0339190,"$157,495.80","$3,800.00","$32,643.00","$193,938.80"
BROOME            ,VILLAGE OF DEPOSIT            ,0341290,$0.00,-$50.00,$50.00,$0.00
BROOME            ,VILLAGE OF ENDICOTT           ,0341580,"$75,254.75","$4,354.50","$72,682.50","$152,291.75"
BROOME            ,VILLAGE OF JOHNSON CITY       ,0342480,"$144,071.70","$16,752.10","$101,431.20","$262,255.00"
CATTARAUGUS       ,TOWN OF ALLEGANY              ,0430110,"$62,906.50","$4,345.00","$66,543.09","$133,794.59"
CATTARAUGUS       ,TOWN OF ASHFORD               ,0430330,"$48,835.55","$1,176.50","$61,263.25","$111,275.30"
CATTARAUGUS       ,TOWN OF CARROLLTON            ,0431330,"$88,510.00","$3,010.00","$87,723.00","$179,243.00"
CATTARAUGUS       ,TOWN OF COLDSPRING            ,0431840,"$17,561.50","$1,265.00","$12,721.50","$31,548.00"
CATTARAUGUS       ,TOWN OF CONEWANGO             ,0431940,"$3,961.00",$60.00,"$4,145.00","$8,166.00"
CATTARAUGUS       ,TOWN OF DAYTON                ,0432210,"$3,877.00",$290.00,"$3,975.00","$8,142.00"
CATTARAUGUS       ,TOWN OF EAST OTTO             ,0432520,"$3,573.00",$920.00,"$3,637.00","$8,130.00"
CATTARAUGUS       ,TOWN OF ELLICOTTVILLE         ,0432650,"$49,391.00","$6,562.00","$55,037.00","$110,990.00"
CATTARAUGUS       ,TOWN OF FARMERSVILLE          ,0432820,"$6,335.02",$0.00,"$8,327.50","$14,662.52"
CATTARAUGUS       ,TOWN OF FRANKLINVILLE         ,0433020,"$37,239.52","$2,406.50","$40,813.25","$80,459.27"
CATTARAUGUS       ,TOWN OF FREEDOM               ,0433030,"$9,765.00",$740.00,"$20,447.00","$30,952.00"
CATTARAUGUS       ,TOWN OF GREAT VALLEY          ,0433400,"$24,905.00","$2,055.00","$20,859.10","$47,819.10"
CATTARAUGUS       ,TOWN OF HINSDALE              ,0433950,"$61,414.00","$3,217.50","$37,942.50","$102,574.00"
CATTARAUGUS       ,TOWN OF HUMPHREY              ,0434090,"$2,600.00",$600.00,"$4,920.00","$8,120.00"
CATTARAUGUS       ,TOWN OF ISCHUA                ,0434200,$628.00,$0.00,$555.00,"$1,183.00"
CATTARAUGUS       ,TOWN OF LEON                  ,0434580,$632.00,$480.00,"$2,355.00","$3,467.00"
CATTARAUGUS       ,TOWN OF LITTLE VALLEY         ,0434760,"$6,120.00","$1,950.00","$6,007.00","$14,077.00"
CATTARAUGUS       ,TOWN OF LYNDON                ,0434900,"$1,236.00",$426.00,"$1,305.00","$2,967.00"
CATTARAUGUS       ,TOWN OF MACHIAS               ,0434950,"$17,636.00","$1,903.00","$27,047.00","$46,586.00"
CATTARAUGUS       ,TOWN OF MANSFIELD             ,0435070,"$1,704.00","$1,270.00","$1,765.00","$4,739.00"
CATTARAUGUS       ,TOWN OF NAPOLI                ,0435600,"$3,815.00",$960.00,"$7,440.00","$12,215.00"
CATTARAUGUS       ,TOWN OF NEW ALBION            ,0435640,"$8,046.00","$1,385.00","$5,588.50","$15,019.50"
CATTARAUGUS       ,TOWN OF OLEAN                 ,0436080,"$42,615.50",$900.00,"$65,380.50","$108,896.00"
CATTARAUGUS       ,TOWN OF OTTO                  ,0436290,$754.00,-$30.00,"$3,045.00","$3,769.00"
CATTARAUGUS       ,TOWN OF PERRYSBURG            ,0436520,"$8,777.00",$860.00,"$26,258.00","$35,895.00"
CATTARAUGUS       ,TOWN OF PERSIA                ,0436530,"$2,679.00",$940.00,"$15,568.00","$19,187.00"
CATTARAUGUS       ,TOWN OF PORTVILLE             ,0436830,"$20,949.00","$2,762.00","$11,388.50","$35,099.50"
CATTARAUGUS       ,TOWN OF RANDOLPH              ,0436990,"$46,847.00","$1,845.00","$33,582.50","$82,274.50"
CATTARAUGUS       ,TOWN OF RED HOUSE             ,0437040,"$35,692.50","$1,045.00","$11,240.50","$47,978.00"
CATTARAUGUS       ,TOWN OF SALAMANCA             ,0437370,"$8,121.00","$1,285.00","$10,607.25","$20,013.25"
CATTARAUGUS       ,TOWN OF SOUTH VALLEY          ,0437920,"$1,858.00",$370.00,"$1,255.00","$3,483.00"
CATTARAUGUS       ,TOWN OF YORKSHIRE             ,0439310,"$44,017.50","$4,551.50","$99,568.00","$148,137.00"
CATTARAUGUS       ,VILLAGE OF ALLEGANY           ,0440100,"$14,321.50","$1,700.00","$31,723.00","$47,744.50"
CATTARAUGUS       ,VILLAGE OF PORTVILLE          ,0444060,"$9,348.75",$290.00,"$13,196.25","$22,835.00"
CATTARAUGUS       ,VILLAGE OF SOUTH DAYTON       ,0444710,"$2,890.00",-$30.00,"$2,556.00","$5,416.00"
CAYUGA            ,TOWN OF AURELIUS              ,0530390,"$57,986.00","$7,790.00","$34,486.00","$100,262.00"
CAYUGA            ,TOWN OF BRUTUS                ,0531000,"$306,084.00","$5,625.00","$254,658.00","$566,367.00"
CAYUGA            ,TOWN OF CATO                  ,0531370,"$43,567.50","$6,055.00","$45,157.50","$94,780.00"
CAYUGA            ,TOWN OF CONQUEST              ,0531960,"$6,197.00",$200.00,"$5,597.00","$11,994.00"
CAYUGA            ,TOWN OF FLEMING               ,0532890,"$18,301.00","$3,519.00","$21,079.00","$42,899.00"
CAYUGA            ,TOWN OF GENOA                 ,0533220,"$11,293.00","$3,995.00","$8,337.00","$23,625.00"
CAYUGA            ,TOWN OF IRA                   ,0534180,"$15,933.50",$852.50,"$14,898.00","$31,684.00"
CAYUGA            ,TOWN OF LEDYARD               ,0534540,"$5,451.50","$1,000.00","$2,497.00","$8,948.50"
CAYUGA            ,TOWN OF LOCKE                 ,0534800,"$5,057.00","$1,490.00","$3,550.00","$10,097.00"
CAYUGA            ,TOWN OF MENTZ                 ,0535230,"$15,738.50","$2,631.50","$9,095.00","$27,465.00"
CAYUGA            ,TOWN OF MONTEZUMA             ,0535440,"$22,070.00","$2,762.50","$17,854.00","$42,686.50"
CAYUGA            ,TOWN OF MORAVIA               ,0535480,"$5,791.00","$1,790.00","$3,840.50","$11,421.50"
CAYUGA            ,TOWN OF NILES                 ,0535860,"$1,921.00","$1,830.00",$710.00,"$4,461.00"
CAYUGA            ,TOWN OF OWASCO                ,0536310,"$10,955.00",$805.00,"$11,081.00","$22,841.00"
CAYUGA            ,TOWN OF SCIPIO                ,0537600,"$24,805.00","$2,105.00","$31,339.00","$58,249.00"
CAYUGA            ,TOWN OF SEMPRONIUS            ,0537630,"$1,157.00",$500.00,$620.00,"$2,277.00"
CAYUGA            ,TOWN OF SENNETT               ,0537660,"$47,830.75","$5,416.00","$42,461.25","$95,708.00"
CAYUGA            ,TOWN OF SPRINGPORT            ,0537970,"$4,638.00",-$7.50,"$2,164.50","$6,795.00"
CAYUGA            ,TOWN OF STERLING              ,0538050,"$18,921.00","$2,592.50","$14,936.00","$36,449.50"
CAYUGA            ,TOWN OF SUMMERHILL            ,0538170,"$5,112.00",$380.00,"$2,535.00","$8,027.00"
CAYUGA            ,TOWN OF THROOP                ,0538240,"$9,440.00","$2,060.00","$6,535.00","$18,035.00"
CAYUGA            ,TOWN OF VENICE                ,0538520,"$3,150.00",$0.00,"$2,805.00","$5,955.00"
CAYUGA            ,TOWN OF VICTORY               ,0538580,"$19,858.00",$702.50,"$10,080.50","$30,641.00"
CAYUGA            ,VILLAGE OF MERIDIAN           ,0543050,"$8,422.50",$0.00,"$9,561.50","$17,984.00"
CAYUGA            ,VILLAGE OF MORAVIA            ,0543230,"$9,685.00","$2,000.00","$5,601.00","$17,286.00"
CAYUGA            ,VILLAGE OF PORT BYRON         ,0544010,"$9,015.00",$492.50,"$7,127.50","$16,635.00"
CAYUGA            ,VILLAGE OF WEEDSPORT          ,0545250,"$35,515.75","$2,615.00","$40,611.25","$78,742.00"
CHAUTAUQUA        ,TOWN OF ARKWRIGHT             ,0630320,"$1,466.00",$470.00,"$3,965.00","$5,901.00"
CHAUTAUQUA        ,TOWN OF BUSTI                 ,0631040,"$47,902.00","$4,770.00","$94,417.00","$147,089.00"
CHAUTAUQUA        ,TOWN OF CARROLL               ,0631320,"$7,787.00",$671.00,"$13,201.00","$21,659.00"
CHAUTAUQUA        ,TOWN OF CHARLOTTE             ,0631460,"$13,777.00",$213.00,"$24,022.50","$38,012.50"
CHAUTAUQUA        ,TOWN OF CHAUTAUQUA            ,0631500,"$22,866.50","$5,060.00","$21,711.00","$49,637.50"
CHAUTAUQUA        ,TOWN OF CHERRY CREEK          ,0631550,"$2,064.00","$1,760.00","$5,576.50","$9,400.50"
CHAUTAUQUA        ,TOWN OF CLYMER                ,0631770,"$7,546.00",$800.00,"$4,565.00","$12,911.00"
CHAUTAUQUA        ,TOWN OF DUNKIRK               ,0632430,"$168,356.50","$2,850.00","$112,949.50","$284,156.00"
CHAUTAUQUA        ,TOWN OF ELLERY                ,0632630,"$88,812.00","$3,851.50","$67,958.50","$160,622.00"
CHAUTAUQUA        ,TOWN OF ELLICOTT              ,0632640,"$83,059.00","$4,895.00","$124,612.00","$212,566.00"
CHAUTAUQUA        ,TOWN OF ELLINGTON             ,0632660,"$1,833.00",$46.50,"$1,254.50","$3,134.00"
CHAUTAUQUA        ,TOWN OF FRENCH CREEK          ,0633070,"$4,776.50","$1,400.00","$2,654.50","$8,831.00"
CHAUTAUQUA        ,TOWN OF GERRY                 ,0633270,"$27,308.00","$1,964.00","$19,855.00","$49,127.00"
CHAUTAUQUA        ,TOWN OF HANOVER               ,0633700,"$55,871.25","$9,221.50","$77,349.25","$142,442.00"
CHAUTAUQUA        ,TOWN OF HARMONY               ,0633730,"$6,121.50",$602.50,"$5,813.00","$12,537.00"
CHAUTAUQUA        ,TOWN OF KIANTONE              ,0634370,"$39,109.00","$1,461.50","$52,943.50","$93,514.00"
CHAUTAUQUA        ,TOWN OF MINA                  ,0635350,"$25,829.50","$1,650.00","$12,482.50","$39,962.00"
CHAUTAUQUA        ,TOWN OF NORTH HARMONY         ,0635960,"$243,972.00","$2,134.00","$141,016.00","$387,122.00"
CHAUTAUQUA        ,TOWN OF POLAND                ,0636770,"$35,805.00","$4,410.00","$21,101.50","$61,316.50"
CHAUTAUQUA        ,TOWN OF POMFRET               ,0636780,"$135,651.00","$5,906.50","$117,710.50","$259,268.00"
CHAUTAUQUA        ,TOWN OF PORTLAND              ,0636820,"$165,042.00","$1,930.00","$114,052.00","$281,024.00"
CHAUTAUQUA        ,TOWN OF RIPLEY                ,0637150,"$27,639.50","$1,040.00","$24,414.00","$53,093.50"
CHAUTAUQUA        ,TOWN OF SHERIDAN              ,0637750,"$191,347.00","$6,870.00","$164,268.50","$362,485.50"
CHAUTAUQUA        ,TOWN OF SHERMAN               ,0637760,"$19,918.50",$555.00,"$11,823.00","$32,296.50"
CHAUTAUQUA        ,TOWN OF STOCKTON              ,0638110,"$40,508.80","$3,700.00","$71,910.00","$116,118.80"
CHAUTAUQUA        ,TOWN OF VILLENOVA             ,0638600,"$3,324.00",$600.00,"$1,825.00","$5,749.00"
CHAUTAUQUA        ,TOWN OF WESTFIELD             ,0638920,"$94,036.00","$5,300.00","$84,044.00","$183,380.00"
CHAUTAUQUA        ,VILLAGE OF FREDONIA           ,0641840,"$20,898.00","$6,855.00","$54,566.00","$82,319.00"
CHAUTAUQUA        ,VILLAGE OF SILVER CREEK       ,0644600,"$1,400.00",$550.00,"$1,882.00","$3,832.00"
CHAUTAUQUA        ,VILLAGE OF WESTFIELD          ,0645300,"$19,278.00","$4,020.00","$11,792.00","$35,090.00"
CHEMUNG           ,TOWN OF ASHLAND               ,0730340,"$30,278.68",$547.50,"$11,597.00","$42,423.18"
CHEMUNG           ,TOWN OF BALDWIN               ,0730480,$666.00,-$10.00,$347.00,"$1,003.00"
CHEMUNG           ,TOWN OF BIG FLATS             ,0730720,"$183,032.00","$11,955.00","$70,877.75","$265,864.75"
CHEMUNG           ,TOWN OF CATLIN                ,0731360,"$11,853.00","$2,907.00","$5,099.00","$19,859.00"
CHEMUNG           ,TOWN OF CHEMUNG               ,0731530,"$259,911.00","$1,155.00","$106,591.00","$367,657.00"
CHEMUNG           ,TOWN OF ELMIRA                ,0732690,"$46,364.67","$2,920.00","$17,317.50","$66,602.17"
CHEMUNG           ,TOWN OF ERIN                  ,0732720,"$5,563.00","$1,670.00","$1,891.00","$9,124.00"
CHEMUNG           ,TOWN OF HORSEHEADS            ,0734050,"$122,224.00","$8,975.00","$50,731.00","$181,930.00"
CHEMUNG           ,TOWN OF SOUTHPORT             ,0737910,"$76,101.00","$6,352.00","$27,746.00","$110,199.00"
CHEMUNG           ,TOWN OF VAN ETTEN             ,0738500,"$14,753.00","$1,065.00","$5,927.00","$21,745.00"
CHEMUNG           ,TOWN OF VETERAN               ,0738560,"$109,874.16",$285.00,"$38,849.00","$149,008.16"
CHEMUNG           ,VILLAGE OF ELMIRA HEIGHTS     ,0741560,"$64,481.00","$4,115.00","$51,919.00","$120,515.00"
CHEMUNG           ,VILLAGE OF HORSEHEADS         ,0742390,"$98,328.00","$9,726.00","$56,069.00","$164,123.00"
CHEMUNG           ,VILLAGE OF WELLSBURG          ,0745260,"$28,884.00","$1,720.00","$7,431.00","$38,035.00"
CHENANGO          ,TOWN OF AFTON                 ,0830030,"$45,648.00","$1,570.00","$11,647.50","$58,865.50"
CHENANGO          ,TOWN OF BAINBRIDGE            ,0830470,"$47,301.00","$1,155.00","$14,584.00","$63,040.00"
CHENANGO          ,TOWN OF COLUMBUS              ,0831900,$682.00,$340.00,$242.00,"$1,264.00"
CHENANGO          ,TOWN OF COVENTRY              ,0832050,"$13,913.00",$300.00,"$5,331.00","$19,544.00"
CHENANGO          ,TOWN OF GERMAN                ,0833240,$135.00,$10.00,$690.00,$835.00
CHENANGO          ,TOWN OF GREENE                ,0833430,"$22,462.50",$800.00,"$11,833.50","$35,096.00"
CHENANGO          ,TOWN OF GUILFORD              ,0833560,"$35,155.00",$735.00,"$11,292.00","$47,182.00"
CHENANGO          ,TOWN OF LICKLAEN,0834690,$0.00,$0.00,$0.00,$0.00
CHENANGO          ,TOWN OF MC DONOUGH            ,0835210,"$1,261.00",$0.00,$682.00,"$1,943.00"
CHENANGO          ,TOWN OF NEW BERLIN            ,0835670,"$33,732.50","$1,217.50","$12,799.00","$47,749.00"
CHENANGO          ,TOWN OF NORTH NORWICH         ,0835990,"$11,396.50","$2,460.00","$3,840.00","$17,696.50"
CHENANGO          ,TOWN OF NORWICH               ,0836030,"$57,658.50","$3,072.00","$34,846.00","$95,576.50"
CHENANGO          ,TOWN OF OTSELIC               ,0836280,$474.00,-$20.00,$307.00,$761.00
CHENANGO          ,TOWN OF OXFORD                ,0836330,"$13,828.50",$160.00,"$7,578.50","$21,567.00"
CHENANGO          ,TOWN OF PHARSALIA             ,0836570,"$2,355.00",$290.00,"$1,014.00","$3,659.00"
CHENANGO          ,TOWN OF PITCHER               ,0836670,"$1,202.00",-$30.00,$830.00,"$2,002.00"
CHENANGO          ,TOWN OF PLYMOUTH              ,0836750,"$6,646.75",$415.00,"$2,406.75","$9,468.50"
CHENANGO          ,TOWN OF PRESTON               ,0836910,$969.00,$80.00,$296.00,"$1,345.00"
CHENANGO          ,TOWN OF SHERBURNE             ,0837740,"$3,591.75",$300.00,"$2,461.25","$6,353.00"
CHENANGO          ,TOWN OF SMITHVILLE            ,0837810,"$1,520.00",$505.00,"$1,420.00","$3,445.00"
CHENANGO          ,TOWN OF SMYRNA                ,0837820,"$3,444.00",$290.00,$867.50,"$4,601.50"
CHENANGO          ,VILLAGE OF EARLVILLE          ,0841390,"$2,027.00",$680.00,"$2,432.00","$5,139.00"
CHENANGO          ,VILLAGE OF GREENE             ,0842030,"$19,596.00",$970.00,"$10,571.00","$31,137.00"
CHENANGO          ,VILLAGE OF OXFORD             ,0843730,"$19,177.25",$770.00,"$14,443.75","$34,391.00"
CHENANGO          ,VILLAGE OF SHERBURNE          ,0844550,"$8,850.00",$990.00,"$5,994.00","$15,834.00"
CLINTON           ,TOWN OF ALTONA                ,0930160,"$57,689.50","$1,710.00","$21,147.00","$80,546.50"
CLINTON           ,TOWN OF AUSABLE               ,0930410,"$114,582.00","$1,655.00","$50,484.00","$166,721.00"
CLINTON           ,TOWN OF BEEKMANTOWN           ,0930590,"$45,550.00","$3,808.00","$19,172.50","$68,530.50"
CLINTON           ,TOWN OF BLACK BROOK           ,0930750,"$6,047.00",$265.00,"$3,837.00","$10,149.00"
CLINTON           ,TOWN OF CHAMPLAIN             ,0931440,"$254,767.75","$8,684.00","$75,385.20","$338,836.95"
CLINTON           ,TOWN OF CHAZY                 ,0931510,"$46,209.00","$3,288.00","$23,308.00","$72,805.00"
CLINTON           ,TOWN OF CLINTON               ,0931750,"$12,780.69",-$10.00,"$4,755.00","$17,525.69"
CLINTON           ,TOWN OF DANNEMORA             ,0932150,"$11,920.00",-$30.00,"$5,439.00","$17,329.00"
CLINTON           ,TOWN OF ELLENBURG             ,0932620,"$42,868.25",-$82.00,"$18,597.75","$61,384.00"
CLINTON           ,TOWN OF MOOERS                ,0935470,"$41,008.00","$1,815.00","$18,114.00","$60,937.00"
CLINTON           ,TOWN OF PERU                  ,0936550,"$181,845.00","$10,235.00","$84,187.00","$276,267.00"
CLINTON           ,TOWN OF PLATTSBURGH           ,0936730,"$349,209.89","$27,653.00","$181,167.00","$558,029.89"
CLINTON           ,TOWN OF SARANAC               ,0937460,"$16,569.00","$1,770.00","$12,050.50","$30,389.50"
CLINTON           ,TOWN OF SCHUYLER FALLS        ,0937580,"$41,516.75","$3,872.00","$19,724.00","$65,112.75"
CLINTON           ,VILLAGE OF DANNEMORA          ,0941220,"$8,383.50",$955.00,"$6,652.00","$15,990.50"
COLUMBIA          ,TOWN OF ANCRAM                ,1030220,"$31,237.50",$650.00,"$35,392.50","$67,280.00"
COLUMBIA          ,TOWN OF AUSTERLITZ            ,1030420,"$106,147.00",$620.00,"$190,153.00","$296,920.00"
COLUMBIA          ,TOWN OF CANAAN                ,1031180,"$81,526.00","$3,820.00","$47,189.00","$132,535.00"
COLUMBIA          ,TOWN OF CHATHAM               ,1031490,"$174,270.25","$5,046.50","$221,511.75","$400,828.50"
COLUMBIA          ,TOWN OF CLAVERACK             ,1031690,"$143,659.00","$2,140.00","$247,970.00","$393,769.00"
COLUMBIA          ,TOWN OF CLERMONT              ,1031720,"$5,452.00",$890.00,"$11,390.00","$17,732.00"
COLUMBIA          ,TOWN OF COPAKE                ,1031990,"$21,651.00","$1,770.00","$31,094.00","$54,515.00"
COLUMBIA          ,TOWN OF GALLATIN              ,1033130,"$93,245.00","$2,399.35","$148,605.70","$244,250.05"
COLUMBIA          ,TOWN OF GERMANTOWN            ,1033260,"$18,319.00",$930.00,"$50,413.00","$69,662.00"
COLUMBIA          ,TOWN OF GHENT                 ,1033280,"$125,422.00","$5,350.00","$189,556.00","$320,328.00"
COLUMBIA          ,TOWN OF GREENPORT             ,1033460,"$102,300.00","$8,165.00","$145,427.00","$255,892.00"
COLUMBIA          ,TOWN OF HILLSDALE             ,1033940,"$12,978.00","$1,570.00","$13,055.00","$27,603.00"
COLUMBIA          ,TOWN OF KINDERHOOK            ,1034380,"$60,845.75","$3,095.00","$72,434.25","$136,375.00"
COLUMBIA          ,TOWN OF LIVINGSTON            ,1034770,"$25,531.25","$2,753.50","$47,597.00","$75,881.75"
COLUMBIA          ,TOWN OF NEW LEBANON           ,1035770,"$59,592.00","$9,511.50","$43,158.00","$112,261.50"
COLUMBIA          ,TOWN OF STOCKPORT             ,1038100,"$33,928.00","$1,889.00","$64,972.50","$100,789.50"
COLUMBIA          ,TOWN OF STUYVESANT            ,1038150,"$2,400.00",$713.00,"$1,415.00","$4,528.00"
COLUMBIA          ,TOWN OF TAGHKANIC             ,1038200,"$153,703.00",$340.00,"$309,895.00","$463,938.00"
COLUMBIA          ,VILLAGE OF CHATHAM            ,1040930,"$6,949.00",$700.00,"$9,426.00","$17,075.00"
COLUMBIA          ,VILLAGE OF KINDERHOOK         ,1042530,"$6,241.00",$585.00,"$7,438.00","$14,264.00"
COLUMBIA          ,VILLAGE OF PHILMONT           ,1043890,"$8,518.91","$1,280.00","$9,372.00","$19,170.91"
CORTLAND          ,TOWN OF CINCINNATUS           ,1131620,"$3,467.00","$1,800.00","$1,407.00","$6,674.00"
CORTLAND          ,TOWN OF CORTLANDVILLE         ,1132040,"$554,833.50","$13,773.50","$170,204.50","$738,811.50"
